,,総数,,,,,,,,,0歳,,,,,,,,,1歳,,,,,,,,,2歳,,,,,,,,,3歳,,,,,,,,,4歳,,,,,,,,,0～4歳,,,,,,,,,5～9歳,,,,,,,,,10～14歳,,,,,,,,,15～19歳,,,,,,,,,20～24歳,,,,,,,,,25～29歳,,,,,,,,,30～34歳,,,,,,,,,35～39歳,,,,,,,,,40～44歳,,,,,,,,,45～49歳,,,,,,,,,50～54歳,,,,,,,,,55～59歳,,,,,,,,,60～64歳,,,,,,,,
,,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他
10300　　急性気管支炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,216,98,4,19,3,-,59,28,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-
,男　Ｍ．,84,43,2,5,1,-,25,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-
,女　Ｆ．,132,55,2,14,2,-,34,21,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10400　　慢性閉塞性肺疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,16629,12227,236,479,175,-,1111,2440,136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,4,3,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,12,7,-,-,-,-,-,5,-,27,10,-,-,-,-,-,14,3,90,51,-,-,-,-,1,36,2,200,120,1,-,-,-,6,72,1
,男　Ｍ．,13950,10474,188,369,134,-,761,2047,111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,9,5,-,-,-,-,-,4,-,18,8,-,-,-,-,-,8,2,79,45,-,-,-,-,1,32,1,170,104,1,-,-,-,6,58,1
,女　Ｆ．,2679,1753,48,110,41,-,350,393,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,9,2,-,-,-,-,-,6,1,11,6,-,-,-,-,-,4,1,30,16,-,-,-,-,-,14,-
10500　　喘息　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1088,638,16,73,17,-,133,206,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,5,3,-,-,-,-,-,1,1,8,5,-,-,-,-,-,3,-,15,11,-,-,-,-,-,3,1,22,10,-,-,-,-,-,10,2,28,14,-,-,-,-,-,12,2,38,21,2,-,-,-,-,15,-
,男　Ｍ．,417,258,6,21,4,-,20,100,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,5,4,-,-,-,-,-,1,-,9,7,-,-,-,-,-,1,1,13,5,-,-,-,-,-,6,2,14,6,-,-,-,-,-,6,2,22,13,-,-,-,-,-,9,-
,女　Ｆ．,671,380,10,52,13,-,113,106,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,1,3,1,-,-,-,-,-,2,-,6,4,-,-,-,-,-,2,-,9,5,-,-,-,-,-,4,-,14,8,-,-,-,-,-,6,-,16,8,2,-,-,-,-,6,-
10600　　その他の呼吸器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,104019,85823,1228,3215,1373,-,7129,6074,550,18,15,-,-,-,-,-,3,-,7,5,-,-,-,-,-,1,1,5,5,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,32,27,-,-,-,-,-,4,1,7,5,-,-,-,-,-,2,-,6,5,-,-,-,-,-,1,-,9,8,-,-,-,-,-,1,-,16,10,-,-,-,-,-,5,1,18,13,-,-,-,-,-,5,-,27,20,-,-,-,-,-,6,1,44,35,2,-,-,-,-,7,-,65,52,-,-,-,-,-,11,2,139,114,-,-,-,-,3,16,6,292,253,-,-,-,-,4,31,4,488,418,2,2,-,-,12,47,7,1080,946,8,10,1,-,27,78,11
,男　Ｍ．,63334,53794,710,1597,674,-,3338,3625,270,10,9,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,14,-,-,-,-,-,1,-,4,2,-,-,-,-,-,2,-,5,5,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,11,6,-,-,-,-,-,4,1,9,7,-,-,-,-,-,2,-,16,10,-,-,-,-,-,5,1,26,18,1,-,-,-,-,7,-,41,35,-,-,-,-,-,6,-,104,86,-,-,-,-,3,12,3,214,184,-,-,-,-,4,23,3,380,320,2,2,-,-,10,39,7,823,722,6,8,1,-,25,55,7
,女　Ｆ．,40685,32029,518,1618,699,-,3791,2449,280,8,6,-,-,-,-,-,2,-,5,3,-,-,-,-,-,1,1,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,17,13,-,-,-,-,-,3,1,3,3,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,4,3,-,-,-,-,-,1,-,5,4,-,-,-,-,-,1,-,9,6,-,-,-,-,-,3,-,11,10,-,-,-,-,-,1,-,18,17,1,-,-,-,-,-,-,24,17,-,-,-,-,-,5,2,35,28,-,-,-,-,-,4,3,78,69,-,-,-,-,-,8,1,108,98,-,-,-,-,2,8,-,257,224,2,2,-,-,2,23,4
10601　　　誤嚥性肺炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,63667,52788,780,2312,1044,-,4922,2539,326,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,6,5,-,-,-,-,-,1,-,11,10,1,-,-,-,-,-,-,20,19,-,-,-,-,-,1,-,37,35,-,-,-,-,1,1,-,104,95,-,-,-,-,3,6,-,185,162,1,2,-,-,10,7,3,390,349,4,8,1,-,16,12,1
,男　Ｍ．,37905,32308,450,1201,529,-,2424,1368,154,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,11,10,-,-,-,-,-,1,-,29,27,-,-,-,-,1,1,-,77,70,-,-,-,-,3,4,-,143,123,1,2,-,-,8,6,3,304,267,3,6,1,-,16,11,1
,女　Ｆ．,25762,20480,330,1111,515,-,2498,1171,172,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,5,4,-,-,-,-,-,1,-,5,4,1,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,27,25,-,-,-,-,-,2,-,42,39,-,-,-,-,2,1,-,86,82,1,2,-,-,-,1,-
10602　　　間質性肺疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,24395,20687,243,274,101,-,836,2267,88,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,6,6,-,-,-,-,-,-,-,13,9,-,-,-,-,-,3,1,37,32,-,-,-,-,-,4,1,86,77,-,-,-,-,1,7,1,154,134,1,-,-,-,1,17,1,412,361,2,-,-,-,5,38,6
,男　Ｍ．,16024,13892,140,110,38,-,373,1468,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,3,3,-,-,-,-,-,-,-,6,5,-,-,-,-,-,1,-,28,26,-,-,-,-,-,2,-,66,59,-,-,-,-,1,6,-,123,107,1,-,-,-,1,13,1,322,287,2,-,-,-,4,25,4
,女　Ｆ．,8371,6795,103,164,63,-,463,799,47,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,7,4,-,-,-,-,-,2,1,9,6,-,-,-,-,-,2,1,20,18,-,-,-,-,-,1,1,31,27,-,-,-,-,-,4,-,90,74,-,-,-,-,1,13,2
10603　　　その他の呼吸器系の疾患（10601及び10602を除く）　　　　　　　　　　　,総数,15957,12348,205,629,228,-,1371,1268,136,17,14,-,-,-,-,-,3,-,6,4,-,-,-,-,-,1,1,5,5,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,24,-,-,-,-,-,4,1,6,4,-,-,-,-,-,2,-,4,4,-,-,-,-,-,-,-,8,7,-,-,-,-,-,1,-,16,10,-,-,-,-,-,5,1,15,10,-,-,-,-,-,5,-,18,13,-,-,-,-,-,4,1,27,19,1,-,-,-,-,7,-,32,24,-,-,-,-,-,7,1,65,47,-,-,-,-,2,11,5,102,81,-,-,-,-,-,18,3,149,122,-,-,-,-,1,23,3,278,236,2,2,-,-,6,28,4
,男　Ｍ．,9405,7594,120,286,107,-,541,789,75,9,8,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,13,-,-,-,-,-,1,-,3,1,-,-,-,-,-,2,-,4,4,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,11,6,-,-,-,-,-,4,1,7,5,-,-,-,-,-,2,-,12,7,-,-,-,-,-,4,1,17,9,1,-,-,-,-,7,-,24,20,-,-,-,-,-,4,-,47,33,-,-,-,-,2,9,3,71,55,-,-,-,-,-,13,3,114,90,-,-,-,-,1,20,3,197,168,1,2,-,-,5,19,2
,女　Ｆ．,6552,4754,85,343,121,-,830,479,61,8,6,-,-,-,-,-,2,-,4,2,-,-,-,-,-,1,1,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,11,-,-,-,-,-,3,1,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,5,4,-,-,-,-,-,1,-,8,5,-,-,-,-,-,3,-,6,6,-,-,-,-,-,-,-,10,10,-,-,-,-,-,-,-,8,4,-,-,-,-,-,3,1,18,14,-,-,-,-,-,2,2,31,26,-,-,-,-,-,5,-,35,32,-,-,-,-,-,3,-,81,68,1,-,-,-,1,9,2
11000　消化器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,59726,48855,538,1258,486,-,2433,6261,381,32,32,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,7,5,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,53,51,-,-,-,-,-,2,-,4,4,-,-,-,-,-,-,-,11,10,-,-,-,-,-,1,-,17,16,-,-,-,-,-,1,-,28,23,-,-,-,-,1,4,-,51,36,-,-,-,-,-,14,1,109,81,-,-,-,-,-,25,3,241,170,-,-,-,-,-,68,3,484,342,-,-,-,-,1,137,4,932,656,2,-,-,-,-,251,23,1591,1141,4,-,-,-,2,424,20,2035,1438,9,2,2,-,12,540,34,2599,1910,16,9,6,-,17,620,27
,男　Ｍ．,32239,26115,258,431,177,-,856,4352,227,20,20,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,31,31,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,5,4,-,-,-,-,-,1,-,12,11,-,-,-,-,-,1,-,16,13,-,-,-,-,1,2,-,29,19,-,-,-,-,-,10,-,79,54,-,-,-,-,-,22,3,164,110,-,-,-,-,-,52,2,345,243,-,-,-,-,-,99,3,692,463,2,-,-,-,-,210,17,1220,848,2,-,-,-,2,352,16,1616,1106,8,1,1,-,7,462,32,2008,1438,12,4,2,-,12,522,20
,女　Ｆ．,27487,22740,280,827,309,-,1577,1909,154,12,12,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,4,2,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,22,20,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,12,10,-,-,-,-,-,2,-,22,17,-,-,-,-,-,4,1,30,27,-,-,-,-,-,3,-,77,60,-,-,-,-,-,16,1,139,99,-,-,-,-,1,38,1,240,193,-,-,-,-,-,41,6,371,293,2,-,-,-,-,72,4,419,332,1,1,1,-,5,78,2,591,472,4,5,4,-,5,98,7
11100　　胃潰瘍及び十二指腸潰瘍　　　　　　　　　　　　　　　　　　　　　　　　,総数,2507,2003,18,42,16,-,86,338,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,4,2,-,-,-,-,-,2,-,12,8,-,-,-,-,-,4,-,22,14,-,-,-,-,-,6,2,30,18,-,-,-,-,-,12,-,51,27,1,-,-,-,-,19,4,81,49,1,1,1,-,-,29,1
,男　Ｍ．,1475,1177,10,20,6,-,28,225,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,2,-,-,-,-,-,-,2,-,9,6,-,-,-,-,-,3,-,19,13,-,-,-,-,-,4,2,26,16,-,-,-,-,-,10,-,42,22,1,-,-,-,-,15,4,68,43,1,-,-,-,-,23,1
,女　Ｆ．,1032,826,8,22,10,-,58,113,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,3,1,-,-,-,-,-,2,-,4,2,-,-,-,-,-,2,-,9,5,-,-,-,-,-,4,-,13,6,-,1,1,-,-,6,-
11200　　ヘルニア及び腸閉塞　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,8529,7597,75,209,97,-,290,335,23,3,3,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,3,1,-,-,-,-,-,2,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,10,8,-,-,-,-,-,2,-,3,3,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,10,10,-,-,-,-,-,-,-,10,7,-,-,-,-,-,2,1,9,8,-,-,-,-,-,1,-,20,18,-,-,-,-,-,2,-,34,28,-,-,-,-,-,4,2,75,68,-,-,-,-,-,7,-,97,84,-,-,-,-,2,10,1,136,120,-,-,-,-,-,14,2
,男　Ｍ．,4145,3761,27,73,33,-,101,173,10,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,8,5,-,-,-,-,-,2,1,5,4,-,-,-,-,-,1,-,14,13,-,-,-,-,-,1,-,22,16,-,-,-,-,-,4,2,52,49,-,-,-,-,-,3,-,73,62,-,-,-,-,2,9,-,89,79,-,-,-,-,-,9,1
,女　Ｆ．,4384,3836,48,136,64,-,189,162,13,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,-,-,-,-,-,-,2,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,6,4,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,6,5,-,-,-,-,-,1,-,12,12,-,-,-,-,-,-,-,23,19,-,-,-,-,-,4,-,24,22,-,-,-,-,-,1,1,47,41,-,-,-,-,-,5,1
11300　　肝疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,18858,14268,175,259,95,-,735,3261,160,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,5,3,-,-,-,-,-,2,-,19,14,-,-,-,-,-,4,1,61,45,-,-,-,-,-,14,2,169,117,-,-,-,-,-,50,2,367,252,-,-,-,-,1,111,3,716,506,2,-,-,-,-,194,14,1191,845,4,-,-,-,1,331,10,1474,1028,7,2,2,-,6,409,22,1718,1246,12,3,1,-,11,431,15
,男　Ｍ．,12285,9091,106,111,47,-,314,2548,115,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,2,1,-,-,-,-,-,1,-,11,7,-,-,-,-,-,4,-,41,27,-,-,-,-,-,12,2,117,80,-,-,-,-,-,36,1,264,182,-,-,-,-,-,80,2,535,362,2,-,-,-,-,161,10,929,639,2,-,-,-,1,279,8,1193,806,6,1,1,-,2,357,21,1373,968,9,2,-,-,9,374,11
,女　Ｆ．,6573,5177,69,148,48,-,421,713,45,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,8,7,-,-,-,-,-,-,1,20,18,-,-,-,-,-,2,-,52,37,-,-,-,-,-,14,1,103,70,-,-,-,-,1,31,1,181,144,-,-,-,-,-,33,4,262,206,2,-,-,-,-,52,2,281,222,1,1,1,-,4,52,1,345,278,3,1,1,-,2,57,4
11301　　　肝硬変（アルコール性を除く）　　　　　　　　　　　　　　　　　　　　,総数,8515,6541,106,136,52,-,451,1213,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,13,9,-,-,-,-,-,4,-,46,32,-,-,-,-,-,12,2,88,62,-,-,-,-,-,26,-,195,143,1,-,-,-,-,49,2,340,236,3,-,-,-,1,96,4,479,342,2,1,1,-,2,128,4,601,459,5,2,-,-,6,125,4
